,IDfg,Name,Age,G,IP,WAR,name_last,name_first,key_bbref,mlb_played_first,2023,shortName,2024,S2,2024Est,Selectable,Position_Starter,Position_Reliever
389,20418,Josh Fleming,25,10,35.0,-0.1,fleming,josh,flemijo01,2020.0,727000.0,Tampa Bay,A1,False,720000.0,False,True,False
390,19545,Stephen Nogosek,26,12,22.0,-0.1,nogosek,stephen,nogosst01,2019.0,730000.0,NY Mets,,False,0.0,True,False,True
391,19742,Anthony Bender,26,22,19.1,-0.1,bender,anthony,bendean01,2021.0,738500.0,Miami,A1,True,720000.0,False,False,True
392,18282,Jarlin Garcia,28,58,65.0,-0.1,garcía,jarlín,garcija04,2017.0,2500000.0,Pittsburgh,opt,False,720000.0,True,False,True
393,16418,Blake Taylor,25,19,16.0,-0.1,taylor,blake,taylobl01,2020.0,830000.0,Houston,A2,False,720000.0,False,False,True
394,14552,Jose Ruiz,26,63,60.2,-0.1,ruiz,josé,ruizjo01,2017.0,925000.0,Chi White Sox,A2,False,720000.0,True,False,True
395,15256,Cole Sulser,31,39,34.0,-0.1,sulser,cole,sulseco01,2019.0,825000.0,Arizona,A2,False,720000.0,True,False,True
396,14416,Yunior Marte,26,39,48.0,-0.1,marte,yunior,marteyu01,2022.0,725500.0,Philadelphia,,False,0.0,False,False,True
397,20061,Kaleb Ort,29,25,28.1,-0.1,ort,kaleb,ortka01,2021.0,722000.0,Boston,,False,0.0,False,False,True
398,18064,Phil Maton,28,67,65.2,-0.1,maton,phil,matonph01,2017.0,2550000.0,Houston,FA,False,0.0,True,False,True
399,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,5250000.0,Texas,A2,False,720000.0,True,False,False
400,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,5250000.0,Texas,FA,False,0.0,True,False,True
401,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,5250000.0,LA Dodgers,A2,False,720000.0,True,False,False
402,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,5250000.0,LA Dodgers,FA,False,0.0,True,False,True
403,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,1500000.0,Texas,A2,False,720000.0,True,False,False
404,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,1500000.0,Texas,FA,False,0.0,True,False,True
405,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,1500000.0,LA Dodgers,A2,False,720000.0,True,False,False
406,8048,Will Smith,31,65,59.0,-0.1,smith,will,smithwi04,2012.0,1500000.0,LA Dodgers,FA,False,0.0,True,False,True
407,17948,Trent Thornton,27,32,46.0,-0.1,thornton,trent,thorntr01,2019.0,1000000.0,Toronto,A2,False,720000.0,True,True,False
408,25595,Xzavion Curry,22,2,9.1,-0.1,curry,xzavion,curryxz01,2022.0,720100.0,Cleveland,,False,0.0,False,False,True
409,21461,Cole Sands,23,11,30.2,-0.1,sands,cole,sandsco01,2022.0,723650.0,Minnesota,,False,0.0,False,False,True
410,19407,Ronel Blanco,27,7,6.1,-0.1,blanco,ronel,blancro01,2022.0,721200.0,Houston,,False,0.0,False,False,True
411,22713,Carlos Hernandez,24,27,56.0,-0.1,hernández,carlos,hernaca04,2020.0,730250.0,Kansas City,A1,True,720000.0,False,False,True
412,27474,Max Meyer,22,2,6.0,-0.1,meyer,max,meyerma01,2022.0,721500.0,Miami,,False,0.0,False,False,True
413,12178,Domingo Tapia,29,11,17.0,-0.1,tapia,domingo,tapiado01,2020.0,735000.0,San Diego,,False,0.0,False,False,True
414,15036,Chase De Jong,27,42,71.2,-0.2,de jong,chase,dejonch01,2017.0,820000.0,Pittsburgh,A1,False,720000.0,True,False,True
415,13942,Brent Suter,31,54,66.2,-0.2,suter,brent,suterbr01,2016.0,3000000.0,Colorado,FA,False,0.0,True,False,True
416,19403,Colin Poche,27,65,58.2,-0.2,poche,colin,pocheco01,2019.0,1175000.0,Tampa Bay,A2,False,720000.0,True,False,True
417,10233,Aroldis Chapman,33,43,36.1,-0.2,chapman,aroldis,chapmar01,2010.0,3750000.0,Kansas City,FA,False,0.0,True,False,True
418,21023,Adrian Martinez,24,12,57.2,-0.2,martinez,adrián,martiad01,2022.0,720000.0,Oakland,,False,0.0,False,False,True
419,12828,Andrew Kittredge,31,17,20.0,-0.2,kittredge,andrew,kittran01,2017.0,2075000.0,Tampa Bay,A3,False,720000.0,True,False,True
