2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Javier, Cristian,rhp-s,3,"$3,400,000 "
Peralta, Wandy,lhp,5.168,"$3,350,000 "
Stallings, Jacob,c,4.149,"$3,350,000 "
Naylor, Josh,1b,3.127,"$3,350,000 "
Williams, Devin,rhp-c,3.056,"$3,350,000 "
Holmes, Clay,rhp-c,4.031,"$3,300,000 "
Barnhart, Tucker,c,8.075,"$3,250,000 "
Gonsolin, Tony,rhp-s,2.152,"$3,250,000 "
Fujinami, Shintaro,rhp-s,0,"$3,250,000 "
Slater, Austin,of,4.147,"$3,200,000 "
Cortes, Nestor,lhp-s,3.094,"$3,200,000 "
Hays, Austin,lf,3.057,"$3,200,000 "
Grisham, Trent,cf,3.06,"$3,175,000 "
Velasquez, Vince,rhp-s,7.086,"$3,150,000 "
Cimber, Adam,rhp,4.156,"$3,150,000 "
Maeda, Kenta,rhp-s,7,"$3,125,000 "
Varsho, Daulton,lf,2.128,"$3,050,000 "
Mondesi, Adalberto,ss,5.088,"$3,045,000 "
Urquidy, Jose,rhp-s,3.049,"$3,025,000 "
Andrus, Elvis,2b,14,"$3,000,000 "
Pillar, Kevin,cf,8.072,"$3,000,000 "
Bass, Anthony,rhp,8.01,"$3,000,000 "
Givens, Mychal,rhp,7.069,"$3,000,000 "
Urena, Jose,rhp-s,6.165,"$3,000,000 "
Aguilar, Jesus,1b,6.082,"$3,000,000 "
Jackson, Luke,rhp,6.019,"$3,000,000 "
Suter, Brent,lhp,5.161,"$3,000,000 "
Yarbrough, Ryan,lhp-s,4.117,"$3,000,000 "
VerHagen, Drew,rhp,4.066,"$3,000,000 "
White, Evan,1b,2.144,"$3,000,000 "
Rucinski, Drew,rhp,0.162,"$3,000,000 "
Ruf, Darin,,,"$3,000,000 "
Means, John,lhp-s,4.007,"$2,975,000 "
Castillo, Diego,rhp,4.118,"$2,950,000 "
Suarez, Ranger,lhp-s,3.112,"$2,950,000 "
Plesac, Zach,rhp-s,3.086,"$2,950,000 "
Singer, Brady,rhp-s,2.156,"$2,950,000 "
Straw, Myles,cf,3.112,"$2,900,000 "
Scott, Tanner,lhp-c,4.059,"$2,825,000 "
Stratton, Chris,rhp,5.1,"$2,800,000 "
Caratini, Victor,c,5.051,"$2,800,000 "
Junis, Jakob,rhp-s,5.002,"$2,800,000 "
Soroka, Michael,rhp-s,4.122,"$2,800,000 "
Biggio, Cavan,2b,3.129,"$2,800,000 "
Jimenez, Joe,rhp,5.061,"$2,765,000 "
Ward, Taylor,lf,2.164,"$2,750,000 "
Sandoval, Patrick,lhp-s,2.149,"$2,750,000 "
Rodgers, Brendan,ss,3.075,"$2,700,000 "
Newman, Kevin,ss,4.046,"$2,662,500 "
Cessa, Luis,rhp-s,5.131,"$2,650,000 "
Garrett, Amir,lhp,5.099,"$2,650,000 "
Hudson, Dakota,rhp-s,4.062,"$2,650,000 "
Walsh, Jared,1b,3.01,"$2,650,000 "
German, Domingo,rhp-s,4.017,"$2,600,000 "
Civale, Aaron,rhp-s,3.058,"$2,600,000 "
Rojas, Josh,2b,2.152,"$2,575,000 "
Maton, Phil,rhp,5.047,"$2,550,000 "
Hoerner, Nico,2b,3.014,"$2,525,000 "
Perez, Roberto,c,8.083,"$2,500,000 "
Casali, Curt,c,6.151,"$2,500,000 "
Garcia, Jarlin,lhp,5.114,"$2,500,000 "
Dominguez, Seranthony,rhp,4.131,"$2,500,000 "
Paddack, Chris,rhp-s,4,"$2,500,000 "
McGough, Scott,rhp,0.046,"$2,500,000 "
Franco, Wander,ss,1.104,"$2,454,546 "
Luzardo, Jesus,lhp-s,2.165,"$2,450,000 "
Keller, Mitch,rhp-s,3.026,"$2,437,500 "
Thielbar, Caleb,lhp,4.131,"$2,400,000 "
Trevino, Jose,c,3.063,"$2,360,000 "
Nola, Austin,c,3.106,"$2,350,000 "
Robles, Victor,cf,4.033,"$2,325,000 "
Finnegan, Kyle,rhp-c,3,"$2,325,000 "
Arcia, Orlando,ss,5.114,"$2,300,000 "
Brebbia, John,rhp,5.078,"$2,300,000 "
Rengifo, Luis,2b,3.043,"$2,300,000 "
Cisnero, Jose,rhp,5.02,"$2,287,500 "
Brubaker, JT,rhp,3,"$2,275,000 "
Loaisiga, Jonathan,rhp,4.022,"$2,262,500 "
Kennedy, Ian,rhp,13.124,"$2,250,000 "
Dickerson, Corey,lf,9.101,"$2,250,000 "
Green, Chad,rhp,6.05,"$2,250,000 "
Edwards, Carl,rhp,5.169,"$2,250,000 "
Estrada, Thairo,2b,2.169,"$2,250,000 "
Ramirez, Harold,dh-of,3.124,"$2,200,000 "
Thomas, Lane,rf,3.014,"$2,200,000 "
Bubic, Kris,lhp-s,2.135,"$2,200,000 "
Mejia, Francisco,c,4.062,"$2,155,000 "
Turnbull, Spencer,rhp-s,4.02,"$2,150,000 "
Helsley, Ryan,rhp-c,3.105,"$2,150,000 "
Berti, Jon,lf-3b,3.168,"$2,100,000 "
Mayza, Tim,lhp,3.156,"$2,100,000 "
Espinal, Santiago,2b,2.149,"$2,100,000 "
Moore, Dylan,3b,4,"$2,083,333 "
Kittredge, Andrew,rhp,4.07,"$2,075,000 "
Kopech, Michael,rhp-s,3.041,"$2,050,000 "
Harrison, Josh,2b,10.168,"$2,000,000 "
Boxberger, Brad,rhp,9.033,"$2,000,000 "
Grossman, Robbie,lf,8.06,"$2,000,000 "
Solano, Donovan,2b-3b,7.081,"$2,000,000 "
Kuhl, Chad,rhp-s,6.079,"$2,000,000 "
Weaver, Luke,rhp,5.112,"$2,000,000 "
Brasier, Ryan,rhp,5.109,"$2,000,000 "
Tapia, Raimel,of,5.02,"$2,000,000 "
Voit, Luke,dh-1b,4.169,"$2,000,000 "
