,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
448,smith,dominic,642086,smitd008,smithdo02,15653,2017.0,2023.0
449,arroyo,christian,624414,arroc001,arroych01,16434,2017.0,2023.0
450,mateo,jorge,622761,matej003,mateojo01,17273,2020.0,2023.0
451,senzel,nick,669222,senzn001,senzeni01,19293,2019.0,2023.0
452,blackburn,paul,621112,blacp001,blackpa01,14739,2017.0,2023.0
453,sampson,adrian,592716,sampa001,sampsad01,13339,2016.0,2022.0
454,clase,emmanuel,661403,clase001,claseem01,21032,2019.0,2023.0
455,alexander,tyler,641302,alext001,alexaty01,17735,2019.0,2023.0
456,bush,matt,456713,bushm001,bushma01,1246,2016.0,2023.0
457,hill,tim,657612,hillt002,hillti01,16814,2018.0,2023.0
458,voth,austin,608723,votha001,vothau01,15047,2018.0,2023.0
459,hicks,jordan,663855,hickj002,hicksjo03,19618,2018.0,2023.0
460,castro,willi,650489,castw003,castrwi01,17338,2019.0,2023.0
461,adam,jason,592094,adamj002,adamja01,11861,2018.0,2023.0
462,hunter,tommy,488984,huntt002,hunteto02,1157,2008.0,2023.0
463,stephenson,robert,596112,stepr002,stephro01,13594,2016.0,2023.0
464,farmer,buck,571656,farmb001,farmebu01,14814,2014.0,2023.0
465,muñoz,andrés,662253,munoa002,munozan01,20373,2019.0,2023.0
466,may,dustin,669160,may-d003,maydu01,19716,2019.0,2023.0
467,rogers,tyler,643511,roget002,rogerty01,15541,2019.0,2023.0
468,gomber,austin,596295,gomba001,gombeau01,16561,2018.0,2023.0
469,murphy,tom,119572,murpt101,murphto02,1009376,1968.0,1979.0
470,carroll,corbin,682998,carrc005,carroco02,25878,2022.0,2023.0
471,lewis,kyle,641786,lewik001,lewisky01,19508,2019.0,2023.0
472,nido,tomás,621512,nidot001,nidoto01,13755,2017.0,2023.0
473,hernández,elieser,622694,herne002,hernael01,16933,2018.0,2022.0
474,guillorme,luis,641645,guill001,guilllu01,16451,2018.0,2023.0
475,giménez,andrés,665926,gimea001,gimenan01,19950,2020.0,2023.0
476,luetge,lucas,476595,luetl001,luetglu01,8337,2012.0,2023.0
477,familia,jeurys,544727,famij001,familje01,5114,2012.0,2023.0
478,smith,will,519293,smitw002,smithwi04,8048,2012.0,2023.0
479,hand,brad,543272,handb001,handbr01,9111,2011.0,2023.0
480,duffy,matt,592274,duffm003,duffyma02,12181,2015.0,2016.0
481,miller,shelby,571946,mills001,millesh01,10197,2012.0,2023.0
482,vogelbach,dan,596129,voged001,vogelda01,14130,2016.0,2023.0
483,richards,trevor,670950,richt001,richatr01,19309,2018.0,2023.0
484,almonte,yency,622075,almoy001,almonye01,15068,2018.0,2023.0
485,rainey,tanner,663432,raint003,raineta01,17610,2018.0,2023.0
486,rodríguez,joely,570257,rodrj004,rodrijo06,11487,2016.0,2023.0
487,tate,dillon,622253,tated001,tatedi01,17796,2019.0,2022.0
488,karinchak,james,675916,karij001,karinja01,20151,2019.0,2023.0
489,higashioka,kyle,543309,higak001,higasky01,5517,2017.0,2023.0
490,hearn,taylor,621368,heart001,hearnta01,18325,2019.0,2023.0
491,thompson,trayce,572204,thomt002,thomptr01,9952,2015.0,2023.0
